文件名,是否颜色偏差,是否低光,是否模糊
13_img_.png,False,False,False
911_img_.png,True,False,True
581_img_.png,True,False,True
910_img_.png,True,False,True
580_img_.png,True,False,True
221_img_.png,True,False,False
488_img_.png,True,True,False
80_img_.png,True,False,False
12900.png,False,False,True
214_img_.png,False,False,False
15704.png,False,False,True
26_img_.png,False,False,True
27_img_.png,False,False,True
133_img_.png,False,False,False
411_img_.png,True,False,False
410_img_.png,True,True,False
323_img_.png,True,True,False
145_img_.png,True,False,False
18_img_.png,True,False,False
144_img_.png,True,False,False
19_img_.png,False,False,False
262_img_.png,False,False,False
51_img_.png,True,False,False
251_img_.png,False,False,False
868_img_.png,True,False,False
704_img_.png,False,False,False
359_img_.png,True,True,False
62_img_.png,False,False,True
539.png,True,False,False
176_img_.png,False,False,False
177_img_.png,True,False,False
857_img_.png,False,False,False
455_img_.png,True,True,True
454_img_.png,False,True,True
101_img_.png,True,False,False
100_img_.png,True,False,False
226_img_.png,False,False,False
841.png,False,False,True
87_img_.png,True,False,False
148_img_.png,True,False,False
213_img_.png,False,False,False
389_img_.png,True,False,False
8288.png,True,False,True
607_img_.png,True,False,True
606_img_.png,True,False,False
135_img_.png,True,False,False
12422.png,True,False,True
12191.png,False,True,False
569_img_.png,True,False,True
568_img_.png,True,False,True
670_img_.png,True,True,True
142_img_.png,True,False,True
324_img_.png,True,True,False
143_img_.png,True,False,False
8262.png,True,False,True
814_img_.png,True,False,False
485_img_.png,True,False,True
57_img_.png,True,False,False
7_img_.png,False,False,False
6_img_.png,True,False,False
435_img_.png,True,True,False
160_img_.png,True,False,False
837_img_.png,True,False,True
74_img_.png,True,False,False
129_img_.png,False,False,False
12433.png,False,False,False
574_img_.png,True,False,True
338_img_.png,True,True,False
231_img_.png,False,False,False
230_img_.png,False,False,False
91_img_.png,True,True,False
442_img_.png,True,False,False
443_img_.png,True,False,False
370_img_.png,False,True,False
890.png,True,False,True
116_img_.png,False,False,False
117_img_.png,False,False,False
371_img_.png,True,True,True
184_img_.png,False,False,False
15003.png,False,False,False
874_img_.png,True,True,False
15001.png,False,False,False
476_img_.png,True,False,False
477_img_.png,False,False,False
122_img_.png,True,False,False
123_img_.png,False,False,False
345_img_.png,True,False,False
204_img_.png,True,False,False
537_img_.png,False,False,False
536_img_.png,False,False,False
6062.png,True,False,True
41_img_.png,False,False,False
400_img_.png,False,True,False
666_img_.png,True,True,True
285_img_.png,True,False,False
25_img_.png,False,False,True
24_img_.png,False,False,True
867_img_.png,True,False,True
131_img_.png,True,False,False
130_img_.png,True,False,False
603_img_.png,True,False,False
8056.png,True,False,False
480_img_.png,False,False,True
89_img_.png,False,False,False
146_img_.png,False,False,False
919_img_.png,False,False,False
3_img_.png,True,False,False
858_img_.png,True,False,True
261_img_.png,False,False,False
1660.png,False,False,True
52_img_.png,True,False,False
53_img_.png,False,True,False
608_img_.png,True,False,True
567_img_.png,True,False,True
566_img_.png,False,False,False
255_img_.png,True,False,True
314_img_.png,False,False,False
172_img_.png,True,False,False
105_img_.png,True,False,False
363_img_.png,True,True,False
362_img_.png,True,True,False
104_img_.png,True,False,True
9_img_.png,True,True,False
196_img_.png,True,False,False
8_img_.png,True,False,False
11_img_.png,False,False,False
10_img_.png,True,False,False
82_img_.png,True,False,False
222_img_.png,True,False,False
223_img_.png,False,False,False
340_img_.png,True,False,False
614_img_.png,True,False,False
615_img_.png,True,False,False
871_img_.png,True,False,False
5818.png,True,False,True
5830.png,True,False,True
12228.png,False,True,True
12348.png,False,True,True
533_img_.png,True,True,False
532_img_.png,True,False,False
200_img_.png,False,False,False
6082.png,True,False,True
45_img_.png,False,False,True
118_img_.png,False,False,False
15426.png,True,False,True
337_img_.png,False,True,False
405_img_.png,True,False,True
391_img_.png,True,False,True
539_img_.png,True,False,False
538_img_.png,False,False,False
164_img_.png,False,False,False
15544.png,False,False,False
570_img_.png,True,False,False
571_img_.png,True,False,False
15418.png,False,False,True
478_img_.png,False,False,False
479_img_.png,False,False,True
8046.png,True,False,True
70_img_.png,False,True,False
95_img_.png,False,False,False
668_img_.png,True,False,True
904_img_.png,False,False,True
844_img_.png,True,True,False
180_img_.png,True,False,False
112_img_.png,False,False,True
113_img_.png,True,False,True
876_img_.png,False,False,False
789_img_.png,True,False,False
120_img_.png,True,False,False
613_img_.png,True,False,False
612_img_.png,True,False,False
534_img_.png,False,False,False
535_img_.png,True,False,False
294_img_.png,False,True,False
168_img_.png,True,False,False
169_img_.png,True,False,False
848_img_.png,False,False,False
908_img_.png,True,False,True
909_img_.png,True,False,True
156_img_.png,False,False,False
157_img_.png,True,False,False
15045.png,False,False,True
834_img_.png,False,False,True
12299.png,False,True,True
76_img_.png,True,False,False
577_img_.png,True,False,True
576_img_.png,True,False,True
245_img_.png,False,False,False
92_img_.png,False,False,False
232_img_.png,False,False,False
115_img_.png,True,False,False
372_img_.png,True,False,True
441_img_.png,True,False,False
440_img_.png,False,False,True
843_img_.png,False,False,False
842_img_.png,False,False,False
921_img_.png,True,False,False
22_img_.png,False,False,True
23_img_.png,False,False,False
210_img_.png,False,False,False
137_img_.png,True,False,False
604_img_.png,True,False,False
605_img_.png,True,False,False
258_img_.png,True,False,False
141_img_.png,True,False,False
327_img_.png,True,True,False
140_img_.png,False,False,False
672_img_.png,True,True,False
487_img_.png,True,True,False
4_img_.png,False,False,False
15094.png,False,False,False
253_img_.png,False,False,False
10488.png,False,True,True
313_img_.png,True,False,False
312_img_.png,True,False,False
288_img_.png,True,False,False
855_img_.png,True,False,False
15136.png,False,False,True
557.png,False,True,True
364_img_.png,True,True,False
102_img_.png,True,False,False
225_img_.png,True,False,False
224_img_.png,False,False,False
16_img_.png,False,False,False
17_img_.png,True,False,False
585_img_.png,True,False,False
584_img_.png,True,False,True
